price;Item number;Item name
523;PTPS-1100GSJ-011;SPIN MOTOR 70W (110V/220V)
524;PTPS-1100KJ-002;SPIN BASKET
525;PTPS-110FS-008;GEAR CASE ASSY (PTPS-100AS-913)
526;PTPS-1200KJ-003;COUPLING ASSY (PTPS-99BS-904)
527;PTPS-1300MJ-003;WASH MOTOR ASSY 150W (127/220V)(PTPS-1400MJ-001)
528;PTPS-1400MJ-023;BELLOW (80)
529;PTPS-140MJ-011;BRAKE ASSY F18
530;PTPS-140MJ-016;PULSATOR ASSY F18
531;PTPS-140MJ-019;P. PULLEY
532;PTPS-140MJ-029;PCB ASSY F18
533;PTPS-140MJ-037;LID LOCK SWITCH F18
534;PTPS-140MJ-043;DRAIN PIPE F18 ASSY
535;PTPS-140MJ-062;M PULLEY ASSY (PTPS-140MJ-078)
536;PTPS-140MJ-078;MOTOR PULLEY ASSY F18 (PTPS-140MJ-062)
537;PTPS-140MJ-084;SPIN BASKET ASSY F18 (PTPS-140MJ-039)
538;PTPS-140MJ-088;GEAR CAP COVER
539;PTPS-140MJ-089;DRAIN VALVE SHAFT
540;PTPS-140WJ-002;GEAR CASE (PTPS-140MJ-017)
541;PTPS-1605SJ-001;COUPLING F18SJ ASSY(PTPS-140MJ-009)
542;PTPS-1605SJ-005;SPIN BASKET ASSY F18
543;PTPS-160SJ-008;TWIN TUB (F18)ASSY
544;PTPS-160SJ-010;CAPACITOR ASSY F18SJ (18+6)
545;PTPS-40A-918;P PULLEY(Screw#-KW-62L-028)(PTPS-40A-929)(PTPS-61A-915)
546;PTPS-50A-906;COUPLING ASSY(MEDIUM)(DS)
547;PTPS-50A-919;DAMPING SPRING ASS'Y
548;PTPS-50A-933;VALVE ACTION PIPE
549;PTPS-51A-905;CHANGE STRAP 51A
550;PTPS-52A-031;WASH TIMER (T-667SST)
551;PTPS-60A-902;M PULLEY ASS'Y
552;PTPS-60A-950;WASH MOTOR
553;PTPS-60DSJ-013;M PULLEY (PTPS-40A-914)
554;PTPS-61A-905;SPIN TIMER-PTPS50A925-PS92&94(PTPS-970GJ-016)(PTPS-110JS-003
555;PTPS-61A-911;P-SHAFT (PTPS-40A-929)(PTPS-61A-915)
556;PTPS-61A-913;SCREW FOR P-PULLEY
557;PTPS-61A-919;BRAKE ASS'Y (PS98)(KWT-950-LX-612)
558;PTPS-61A-937;BELLOWS ASS'Y (PTPS-105DSJ-936)
559;PTPS-70A-903;DAMPING SPRING
560;PTPS-70A-926;GEAR CASE-W/O-P (PTPS-70A-933)
561;PTPS-70A-927;BREAK ASSY
